channel_num,center_freq_mhz,timestamp,avg_power_db,peak_power_db,std_dev_db,signal_presence_ratio,mean_amplitude,max_amplitude,crest_factor,noise_floor_db,num_detected_peaks,in_channel_power_db,spectral_flatness,ap_channel,sample_id
1,2412.000000001859,2025-04-21T19:24:53.178126,-99.6639,-75.33248,1.3249481,0.0,0.011305011333303248,0.10450313240289688,3.9486363352398373,-99.99117,0,-99.91586,0.9145888090133667,2,3
2,2417.000000001862,2025-04-21T19:24:53.360065,-90.26026,-61.99649,8.324425,0.23404255319148937,0.2213413234596507,1.4132206439971924,2.9944542431314622,-99.27227,6,-86.06958,0.16623562574386597,2,1
2,2417.000000001862,2025-04-21T19:24:54.047580,-81.3566,-60.248764,7.543431,0.7659574468085106,0.8639769210783601,1.4132423400878906,1.3961791533183894,-93.55169,13,-77.86633,0.28370556235313416,2,2
2,2417.000000001862,2025-04-21T19:24:54.731223,-84.40118,-61.398872,8.714577,0.9787234042553191,0.8885470015136311,1.4132206439971924,1.4924012223773966,-96.17631,10,-80.00699,0.16123847663402557,2,3
3,2422.0000000018617,2025-04-21T19:24:54.917934,-99.44316,-69.40166,2.3336878,0.0,0.02726448374984162,0.13708963990211487,2.5417081769038057,-99.99083,1,-98.91409,0.6522152423858643,2,1
3,2422.0000000018617,2025-04-21T19:24:55.608999,-99.793625,-75.40663,0.827572,0.0,0.010492012567404762,0.08748403191566467,4.817931124733579,-99.98943,0,-99.66111,0.9680173397064209,2,2
3,2422.0000000018617,2025-04-21T19:24:56.301521,-99.96532,-96.48662,0.021719808,0.0,0.004933960874427793,0.02112235315144062,3.7379013101368885,-99.98595,0,-99.95818,0.9999874830245972,2,3
4,2427.00000000186,2025-04-21T19:24:56.485907,-94.99576,-69.93783,6.763849,0.23404255319148937,0.098695354507424,0.583011269569397,2.728152746746825,-99.97972,4,-90.97598,0.253587543964386,2,1
4,2427.00000000186,2025-04-21T19:24:57.174584,-97.18781,-76.27406,3.7305756,0.0425531914893617,0.054038808044414494,0.4038597345352173,4.403681662816036,-99.947235,0,-96.06068,0.6141054034233093,2,2
4,2427.00000000186,2025-04-21T19:24:57.853285,-99.787445,-74.65203,0.96267986,0.0,0.009504395760642423,0.08426016569137573,4.227347822162241,-99.99009,0,-99.599594,0.9545045495033264,2,3
5,2432.000000001859,2025-04-21T19:24:58.024634,-99.09505,-55.276627,4.4963956,0.0,0.11569214714632763,0.712108850479126,2.5743834169888093,-99.986694,1,-98.24305,0.060954175889492035,2,1
5,2432.000000001859,2025-04-21T19:24:58.708804,-99.83821,-77.05783,0.6905968,0.0,0.008837452032290551,0.06887055188417435,4.4298527145239195,-99.98666,0,-99.70769,0.9784836769104004,2,2
5,2432.000000001859,2025-04-21T19:24:59.398992,-99.50903,-69.67294,2.0539079,0.0,0.017147907904400943,0.1758120208978653,3.937525941871362,-99.987465,1,-99.96223,0.7469356060028076,2,3
6,2437.000000001862,2025-04-21T19:24:59.569564,-86.455215,-60.578087,9.634211,0.9574468085106383,0.8034135348209004,1.4132208824157715,1.6074825532224153,-96.92192,8,-89.22827,0.11590328812599182,2,1
6,2437.000000001862,2025-04-21T19:25:00.238719,-96.10095,-69.12529,5.6625137,0.0425531914893617,0.13114675879727117,0.33137205243110657,2.09898474458896,-99.98562,3,-95.766,0.3369395136833191,2,2
6,2437.000000001862,2025-04-21T19:25:00.915159,-94.557205,-64.228096,8.559504,0.23404255319148937,0.15307445637524303,1.147487759590149,3.2438082111698856,-99.94418,5,-99.154,0.10773148387670517,2,3
7,2442.0000000018617,2025-04-21T19:25:01.086240,-99.51114,-68.388016,1.5947409,0.0,0.015566914579895173,0.13762357831001282,4.111299804055721,-99.986786,1,-99.48181,0.8697434663772583,2,1
